model,category,k,seed,strategy,n_train,n_eval,n_eval_good,n_eval_defective,accuracy,balanced_accuracy,precision,recall,f1,auroc,confusion_matrix,final_train_loss,first_train_loss,epoch_losses,lora_rank,lora_alpha,lora_target_modules,lora_lr,lora_epochs
clip,cable,1,123,naive,2,148,57,91,0.5202702702702703,0.5902255639097744,0.8125,0.2857142857142857,0.42276422764227645,0.6709080393290919,"[[51, 6], [65, 26]]",0.06787053495645523,1.3303027153015137,"[1.3303027153015137, 1.1464405059814453, 0.9548469185829163, 0.7693718075752258, 0.605961263179779, 0.44303667545318604, 0.33068162202835083, 0.2674434185028076, 0.21639180183410645, 0.2150385081768036, 0.19670739769935608, 0.19987617433071136, 0.19362086057662964, 0.1533524990081787, 0.15137343108654022, 0.11161795258522034, 0.10538136959075928, 0.08946704864501953, 0.07529199123382568, 0.06787053495645523]",8,16,"q_proj,v_proj",0.0001,20
clip,cable,1,456,naive,2,148,57,91,0.6148648648648649,0.6671486408328513,0.8695652173913043,0.43956043956043955,0.583941605839416,0.7584345479082322,"[[51, 6], [51, 40]]",0.06939734518527985,1.5039763450622559,"[1.5039763450622559, 1.3096562623977661, 1.09068763256073, 0.8831197023391724, 0.6593117713928223, 0.5015844106674194, 0.40147820115089417, 0.3735009431838989, 0.35636258125305176, 0.3098559081554413, 0.29288822412490845, 0.2777927815914154, 0.2546192705631256, 0.21571287512779236, 0.162512868642807, 0.13201121985912323, 0.10195830464363098, 0.08457052707672119, 0.07653889060020447, 0.06939734518527985]",8,16,"q_proj,v_proj",0.0001,20
clip,cable,5,42,naive,10,140,53,87,0.6928571428571428,0.7196920407720668,0.8548387096774194,0.6091954022988506,0.7114093959731543,0.7753198872261982,"[[44, 9], [34, 53]]",0.1357433684170246,1.081819474697113,"[1.081819474697113, 0.9537568092346191, 0.5908995717763901, 0.6063409596681595, 0.49357497692108154, 0.4929134249687195, 0.5095908343791962, 0.451519712805748, 0.36125822365283966, 0.33900147676467896, 0.3193119019269943, 0.2705313637852669, 0.2727118730545044, 0.19005679339170456, 0.2663131058216095, 0.28100908547639847, 0.25043511390686035, 0.23666078597307205, 0.1802346631884575, 0.1357433684170246]",8,16,"q_proj,v_proj",0.0001,20
clip,cable,5,123,naive,10,140,53,87,0.6642857142857143,0.6450878334417697,0.7325581395348837,0.7241379310344828,0.7283236994219653,0.7542832357406202,"[[30, 23], [24, 63]]",0.13202089443802834,1.5132303833961487,"[1.5132303833961487, 0.8834685683250427, 0.6980357766151428, 0.5830051302909851, 0.4740549921989441, 0.5644985735416412, 0.5122781991958618, 0.5050579309463501, 0.38715212047100067, 0.35834597051143646, 0.4664192646741867, 0.28962357342243195, 0.27468685805797577, 0.31365280598402023, 0.20938727259635925, 0.2709522768855095, 0.2222258597612381, 0.21243895590305328, 0.15104614198207855, 0.13202089443802834]",8,16,"q_proj,v_proj",0.0001,20
clip,cable,5,456,naive,10,140,53,87,0.6571428571428571,0.6872695727607894,0.8305084745762712,0.5632183908045977,0.6712328767123288,0.7876816308826718,"[[43, 10], [38, 49]]",0.1331939958035946,0.9907884895801544,"[0.9907884895801544, 0.9330335855484009, 0.5183631330728531, 0.6492046266794205, 0.41465526819229126, 0.4765830934047699, 0.47985899448394775, 0.43379922211170197, 0.36156368255615234, 0.3325105458498001, 0.2658570408821106, 0.3365710824728012, 0.2950838655233383, 0.2553814724087715, 0.22272545099258423, 0.18787580728530884, 0.20861409604549408, 0.15733230859041214, 0.15197277069091797, 0.1331939958035946]",8,16,"q_proj,v_proj",0.0001,20
clip,cable,10,42,naive,20,130,48,82,0.7384615384615385,0.7365345528455285,0.8243243243243243,0.7439024390243902,0.782051282051282,0.8081808943089431,"[[35, 13], [21, 61]]",0.054786047587792076,1.1556397875150044,"[1.1556397875150044, 0.7675366401672363, 0.5593538681666056, 0.502880334854126, 0.5993196964263916, 0.5104777216911316, 0.4121306737263997, 0.3866725265979767, 0.34672968586285907, 0.33632053931554157, 0.2973400255044301, 0.2573596040407817, 0.204957976937294, 0.1952133278052012, 0.18025130033493042, 0.1312756985425949, 0.10903087755044301, 0.08791167040665944, 0.07019905745983124, 0.054786047587792076]",8,16,"q_proj,v_proj",0.0001,20
clip,cable,10,123,naive,20,130,48,82,0.6384615384615384,0.7004573170731707,0.926829268292683,0.4634146341463415,0.6178861788617886,0.8175813008130081,"[[45, 3], [44, 38]]",0.06764875849088033,1.0720076461633046,"[1.0720076461633046, 0.8423256079355875, 0.6029780705769857, 0.5046244164307913, 0.531866172949473, 0.5264754891395569, 0.4669188857078552, 0.39598264296849567, 0.3637937009334564, 0.3531830310821533, 0.31592785318692523, 0.27308664719263714, 0.22149568299452463, 0.21823290983835855, 0.1711983730395635, 0.13940892120202383, 0.12945170948902765, 0.10601918647686641, 0.07942597319682439, 0.06764875849088033]",8,16,"q_proj,v_proj",0.0001,20
clip,cable,10,456,naive,20,130,48,82,0.7307692307692307,0.7477134146341464,0.8615384615384616,0.6829268292682927,0.7619047619047619,0.8353658536585366,"[[39, 9], [26, 56]]",0.08717309931914012,1.2053238948186238,"[1.2053238948186238, 0.8593526482582092, 0.513979415098826, 0.6057742834091187, 0.6027633349100748, 0.5501450399557749, 0.48183197776476544, 0.4048921465873718, 0.3888798654079437, 0.38293535510698956, 0.33014577627182007, 0.3082248767217, 0.2710234522819519, 0.2441767454147339, 0.19805250565210977, 0.174464151263237, 0.16144142796595892, 0.12160396327575047, 0.10723365346590678, 0.08717309931914012]",8,16,"q_proj,v_proj",0.0001,20
clip,capsule,1,42,naive,2,130,22,108,0.7076923076923077,0.5526094276094277,0.85,0.7870370370370371,0.8173076923076923,0.6203703703703705,"[[7, 15], [23, 85]]",0.0940663069486618,0.889496922492981,"[0.889496922492981, 0.8195568919181824, 0.7446346282958984, 0.6758299469947815, 0.597443699836731, 0.5381593704223633, 0.4693179726600647, 0.43089115619659424, 0.39581993222236633, 0.3615661561489105, 0.33646634221076965, 0.3055592477321625, 0.2679630219936371, 0.24067173898220062, 0.2108277529478073, 0.17726938426494598, 0.1523626297712326, 0.13141663372516632, 0.11305912584066391, 0.0940663069486618]",8,16,"q_proj,v_proj",0.0001,20
clip,capsule,1,123,naive,2,130,22,108,0.3769230769230769,0.5164141414141414,0.8461538461538461,0.3055555555555556,0.4489795918367347,0.6119528619528619,"[[16, 6], [75, 33]]",0.047912850975990295,0.7100101113319397,"[0.7100101113319397, 0.6623801589012146, 0.6115743517875671, 0.561086893081665, 0.5132485628128052, 0.46640273928642273, 0.4101857542991638, 0.37994760274887085, 0.3242170810699463, 0.293325811624527, 0.2521094083786011, 0.2189282476902008, 0.19266381859779358, 0.15898723900318146, 0.13246168196201324, 0.1076277568936348, 0.085443876683712, 0.06976330280303955, 0.060529351234436035, 0.047912850975990295]",8,16,"q_proj,v_proj",0.0001,20
clip,capsule,1,456,naive,2,130,22,108,0.7461538461538462,0.5033670033670034,0.831858407079646,0.8703703703703703,0.8506787330316742,0.5841750841750841,"[[3, 19], [14, 94]]",0.08370341360569,0.8090959191322327,"[0.8090959191322327, 0.7415780425071716, 0.676166296005249, 0.6115336418151855, 0.5521701574325562, 0.49824121594429016, 0.4603564739227295, 0.43047547340393066, 0.39215224981307983, 0.3542488217353821, 0.31094983220100403, 0.27749067544937134, 0.2505084276199341, 0.2171880602836609, 0.18209464848041534, 0.15655648708343506, 0.13313782215118408, 0.11500993371009827, 0.09817168116569519, 0.08370341360569]",8,16,"q_proj,v_proj",0.0001,20
clip,capsule,5,42,naive,10,122,18,104,0.20491803278688525,0.5336538461538461,1.0,0.0673076923076923,0.12612612612612611,0.7013888888888888,"[[18, 0], [97, 7]]",0.28463971614837646,0.7828149497509003,"[0.7828149497509003, 0.7914901971817017, 0.6304519176483154, 0.6159284114837646, 0.5249898433685303, 0.48123103380203247, 0.48253031075000763, 0.73586505651474, 0.5547068417072296, 0.4435620754957199, 0.3996773511171341, 0.338150754570961, 0.4118916541337967, 0.3179008737206459, 0.4065001308917999, 0.44756026566028595, 0.3491719365119934, 0.3795870840549469, 0.22944387793540955, 0.28463971614837646]",8,16,"q_proj,v_proj",0.0001,20
clip,capsule,5,123,naive,10,122,18,104,0.5573770491803278,0.6025641025641025,0.9032258064516129,0.5384615384615384,0.6746987951807228,0.6463675213675214,"[[12, 6], [48, 56]]",0.09869120270013809,0.7673941254615784,"[0.7673941254615784, 0.65592822432518, 0.6062846183776855, 0.5784826278686523, 0.5045739412307739, 0.5528348088264465, 0.49333757162094116, 0.46905413269996643, 0.4719689041376114, 0.37472638487815857, 0.4159706085920334, 0.3258216679096222, 0.3263870179653168, 0.3179083317518234, 0.2568315863609314, 0.23533842712640762, 0.17410515248775482, 0.16732924431562424, 0.14729434996843338, 0.09869120270013809]",8,16,"q_proj,v_proj",0.0001,20
clip,capsule,5,456,naive,10,122,18,104,0.4098360655737705,0.561965811965812,0.9,0.34615384615384615,0.5,0.6720085470085471,"[[14, 4], [68, 36]]",0.12070129811763763,0.7969239056110382,"[0.7969239056110382, 0.6183499991893768, 0.6485010981559753, 0.6223167181015015, 0.49337297677993774, 0.5264823585748672, 0.4909607619047165, 0.404246985912323, 0.4661579877138138, 0.37088367342948914, 0.38082247972488403, 0.2857661247253418, 0.28690846264362335, 0.2412991225719452, 0.20368945598602295, 0.32448747754096985, 0.18195996433496475, 0.23053671419620514, 0.11325976252555847, 0.12070129811763763]",8,16,"q_proj,v_proj",0.0001,20
clip,capsule,10,42,naive,20,112,13,99,0.4732142857142857,0.702020202020202,1.0,0.40404040404040403,0.5755395683453237,0.8648018648018648,"[[13, 0], [59, 40]]",0.09746311108271281,0.7224378188451132,"[0.7224378188451132, 0.6242895523707072, 0.6204459269841512, 0.5882521271705627, 0.6117064754168192, 0.511622428894043, 0.49595974882443744, 0.49227942029635113, 0.4670783380667369, 0.4428301850954692, 0.409691462914149, 0.3396158814430237, 0.3096970170736313, 0.2856840491294861, 0.27246523400147754, 0.21614458660284677, 0.2089765171209971, 0.1651338537534078, 0.12757252901792526, 0.09746311108271281]",8,16,"q_proj,v_proj",0.0001,20
clip,capsule,10,123,naive,20,112,13,99,0.5803571428571429,0.5621600621600622,0.90625,0.5858585858585859,0.7116564417177914,0.6177156177156177,"[[7, 6], [41, 58]]",0.07068667064110438,0.6715857684612274,"[0.6715857684612274, 0.6130093932151794, 0.5849560101826986, 0.5633248488108317, 0.5342429876327515, 0.5032680829366049, 0.5025365650653839, 0.4888128141562144, 0.41285815834999084, 0.40283968051274616, 0.36284996072451275, 0.31241246064503986, 0.25800477464993793, 0.2617706557114919, 0.20759716629981995, 0.16785597801208496, 0.15183343241612116, 0.11554831514755885, 0.08416860053936641, 0.07068667064110438]",8,16,"q_proj,v_proj",0.0001,20
clip,capsule,10,456,naive,20,112,13,99,0.7053571428571429,0.5994560994560995,0.9125,0.7373737373737373,0.8156424581005587,0.7024087024087025,"[[6, 7], [26, 73]]",0.0921787718931834,0.696349581082662,"[0.696349581082662, 0.6234286228815714, 0.5823229551315308, 0.597158153851827, 0.6211539705594381, 0.5451738437016805, 0.5153638323148092, 0.47675861914952594, 0.46131614844004315, 0.45193718870480853, 0.41177088022232056, 0.3938981095949809, 0.37799262007077533, 0.30970508853594464, 0.2551310658454895, 0.23288248479366302, 0.19091721872488657, 0.15700113276640573, 0.11495636155207951, 0.0921787718931834]",8,16,"q_proj,v_proj",0.0001,20
clip,carpet,1,42,naive,2,115,27,88,0.782608695652174,0.8579545454545454,1.0,0.7159090909090909,0.8344370860927153,0.9814814814814814,"[[27, 0], [25, 63]]",0.013006525114178658,0.4189341962337494,"[0.4189341962337494, 0.362470805644989, 0.3108282685279846, 0.2749013602733612, 0.22838793694972992, 0.19587302207946777, 0.15652287006378174, 0.12946408987045288, 0.10502949357032776, 0.08084595203399658, 0.06315027922391891, 0.05302285775542259, 0.04040294885635376, 0.03289130702614784, 0.027047710493206978, 0.02287234738469124, 0.019647810608148575, 0.017005562782287598, 0.015416467562317848, 0.013006525114178658]",8,16,"q_proj,v_proj",0.0001,20
clip,carpet,1,123,naive,2,115,27,88,0.45217391304347826,0.6420454545454546,1.0,0.2840909090909091,0.4424778761061947,0.9810606060606061,"[[27, 0], [63, 25]]",0.010559420101344585,0.442914754152298,"[0.442914754152298, 0.38553160429000854, 0.32446831464767456, 0.2744482755661011, 0.23160713911056519, 0.19336465001106262, 0.16252312064170837, 0.1347704827785492, 0.10906749963760376, 0.09201379120349884, 0.0689515769481659, 0.05386766418814659, 0.04274754226207733, 0.03442083299160004, 0.02632267028093338, 0.02038443833589554, 0.016499144956469536, 0.0139824990183115, 0.012453926727175713, 0.010559420101344585]",8,16,"q_proj,v_proj",0.0001,20
clip,carpet,1,456,naive,2,115,27,88,0.8347826086956521,0.8920454545454546,1.0,0.7840909090909091,0.8789808917197452,0.9941077441077442,"[[27, 0], [19, 69]]",0.018703147768974304,0.6193631291389465,"[0.6193631291389465, 0.5681924819946289, 0.5095266103744507, 0.45847493410110474, 0.4094381630420685, 0.35806402564048767, 0.3028278052806854, 0.2654275894165039, 0.22053250670433044, 0.18476450443267822, 0.1459532529115677, 0.11769083887338638, 0.09357679635286331, 0.0757257491350174, 0.05845891684293747, 0.04749993979930878, 0.035764798521995544, 0.03076072968542576, 0.023495929315686226, 0.018703147768974304]",8,16,"q_proj,v_proj",0.0001,20
clip,carpet,5,42,naive,10,107,23,84,0.9158878504672897,0.9464285714285714,1.0,0.8928571428571429,0.9433962264150944,1.0,"[[23, 0], [9, 75]]",0.0066014614421874285,0.49864761531352997,"[0.49864761531352997, 0.41243450343608856, 0.3805028647184372, 0.29802481830120087, 0.25098767131567, 0.21500631421804428, 0.16361916437745094, 0.12909674644470215, 0.10123863816261292, 0.06946096383035183, 0.051220416091382504, 0.04362531937658787, 0.04292231239378452, 0.02449942473322153, 0.01770663447678089, 0.018942813854664564, 0.012091652024537325, 0.008508004946634173, 0.007114792941138148, 0.0066014614421874285]",8,16,"q_proj,v_proj",0.0001,20
clip,carpet,5,123,naive,10,107,23,84,0.9439252336448598,0.9642857142857143,1.0,0.9285714285714286,0.9629629629629629,0.9979296066252588,"[[23, 0], [6, 78]]",0.010201248340308666,0.5464093089103699,"[0.5464093089103699, 0.4207606017589569, 0.3698117583990097, 0.3245542645454407, 0.25829730927944183, 0.21662288904190063, 0.20959585160017014, 0.17611567676067352, 0.1288994923233986, 0.0952887125313282, 0.07559343799948692, 0.057596633210778236, 0.04434255510568619, 0.04133466258645058, 0.036290585063397884, 0.02429104968905449, 0.02112642489373684, 0.015624843537807465, 0.0112432767637074, 0.010201248340308666]",8,16,"q_proj,v_proj",0.0001,20
clip,carpet,5,456,naive,10,107,23,84,0.8691588785046729,0.9166666666666667,1.0,0.8333333333333334,0.9090909090909091,0.9958592132505176,"[[23, 0], [14, 70]]",0.006859459914267063,0.4725199043750763,"[0.4725199043750763, 0.5112752914428711, 0.3652343153953552, 0.3391505926847458, 0.25656858086586, 0.20718136429786682, 0.2202705219388008, 0.16824951022863388, 0.160506971180439, 0.09616246446967125, 0.0698533933609724, 0.04695756733417511, 0.036536904983222485, 0.02932872250676155, 0.02219824120402336, 0.02159093413501978, 0.016017802990972996, 0.013688843697309494, 0.011710726656019688, 0.006859459914267063]",8,16,"q_proj,v_proj",0.0001,20
clip,carpet,10,42,naive,20,97,18,79,0.9690721649484536,0.9810126582278481,1.0,0.9620253164556962,0.9806451612903225,0.9964838255977496,"[[18, 0], [3, 76]]",0.003491272140915195,0.5547403693199158,"[0.5547403693199158, 0.47579797108968097, 0.44470157225926715, 0.3837772111097972, 0.36746588349342346, 0.26236651837825775, 0.2201204647620519, 0.175079012910525, 0.12287505219380061, 0.07532290617624919, 0.0525242934624354, 0.03328761334220568, 0.020543182889620464, 0.014438020686308542, 0.011153167113661766, 0.007742659033586581, 0.006242943772425254, 0.0049214524527390795, 0.0039691736456006765, 0.003491272140915195]",8,16,"q_proj,v_proj",0.0001,20
clip,carpet,10,123,naive,20,97,18,79,0.9278350515463918,0.9556962025316456,1.0,0.9113924050632911,0.9536423841059603,0.9964838255977497,"[[18, 0], [7, 72]]",0.00295695336535573,0.4302007754643758,"[0.4302007754643758, 0.3866822421550751, 0.315412958463033, 0.2687371224164963, 0.19719109435876211, 0.1488303244113922, 0.13595736275116602, 0.07668086141347885, 0.04543459415435791, 0.03130452831586202, 0.023371451844771702, 0.01643160916864872, 0.011297230763981739, 0.010814954526722431, 0.009449963613102833, 0.006832776435961326, 0.0048258258029818535, 0.004318096442148089, 0.003558936839302381, 0.00295695336535573]",8,16,"q_proj,v_proj",0.0001,20
clip,carpet,10,456,naive,20,97,18,79,0.9381443298969072,0.9620253164556962,1.0,0.9240506329113924,0.9605263157894737,0.9985935302390998,"[[18, 0], [6, 73]]",0.001871627988293767,0.4433121085166931,"[0.4433121085166931, 0.37049070994059247, 0.30453550815582275, 0.2650679051876068, 0.1799673636754354, 0.11431122074524562, 0.08590201785167058, 0.058259562899669014, 0.03492178147037824, 0.02284957654774189, 0.015682512273391087, 0.011613902325431505, 0.008970271330326796, 0.006369027774780989, 0.004451602464541793, 0.00357699867648383, 0.0027941029208401837, 0.0024955240078270435, 0.00210371733798335, 0.001871627988293767]",8,16,"q_proj,v_proj",0.0001,20
clip,grid,1,42,naive,2,76,20,56,0.6842105263157895,0.6571428571428571,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.6883928571428571,"[[12, 8], [16, 40]]",0.05252896994352341,1.1988762617111206,"[1.1988762617111206, 1.0553665161132812, 0.9137188196182251, 0.7591001391410828, 0.6031581163406372, 0.489677369594574, 0.3748054504394531, 0.30951470136642456, 0.2790187895298004, 0.25244054198265076, 0.2296956181526184, 0.22162285447120667, 0.19091486930847168, 0.1695759892463684, 0.14373156428337097, 0.11804818361997604, 0.09786070883274078, 0.07714018225669861, 0.06651966273784637, 0.05252896994352341]",8,16,"q_proj,v_proj",0.0001,20
clip,grid,1,123,naive,2,76,20,56,0.631578947368421,0.6053571428571429,0.8043478260869565,0.6607142857142857,0.7254901960784313,0.7000000000000001,"[[11, 9], [19, 37]]",0.08650550246238708,1.318869948387146,"[1.318869948387146, 1.162207841873169, 0.9996105432510376, 0.8332428336143494, 0.6840925812721252, 0.5318098664283752, 0.4200572967529297, 0.3635368049144745, 0.32147055864334106, 0.3300180435180664, 0.2910923957824707, 0.3035082221031189, 0.2721700668334961, 0.22191771864891052, 0.19931276142597198, 0.1369389295578003, 0.12604431807994843, 0.10437707602977753, 0.09315693378448486, 0.08650550246238708]",8,16,"q_proj,v_proj",0.0001,20
clip,grid,1,456,naive,2,76,20,56,0.6710526315789473,0.5357142857142857,0.7540983606557377,0.8214285714285714,0.7863247863247863,0.6080357142857142,"[[5, 15], [10, 46]]",0.038164567202329636,0.9394999742507935,"[0.9394999742507935, 0.8019987344741821, 0.6679221391677856, 0.5586788058280945, 0.44487836956977844, 0.3658180236816406, 0.300192654132843, 0.26895344257354736, 0.23139193654060364, 0.19387823343276978, 0.1746467649936676, 0.15499210357666016, 0.1423594057559967, 0.1263681799173355, 0.10105922818183899, 0.08547747135162354, 0.06801145523786545, 0.05776364728808403, 0.04637961834669113, 0.038164567202329636]",8,16,"q_proj,v_proj",0.0001,20
clip,grid,5,42,naive,10,68,16,52,0.5735294117647058,0.6129807692307692,0.8484848484848485,0.5384615384615384,0.6588235294117647,0.7115384615384615,"[[11, 5], [24, 28]]",0.06450964510440826,1.0170681476593018,"[1.0170681476593018, 1.111443817615509, 0.6442838311195374, 0.7780754864215851, 0.5135917812585831, 0.46983999013900757, 0.4280576705932617, 0.33444003760814667, 0.23680469393730164, 0.26500940322875977, 0.24812325835227966, 0.16449347883462906, 0.12377361208200455, 0.1135878637433052, 0.1371605508029461, 0.0888128262013197, 0.08468379825353622, 0.1086539588868618, 0.08222798258066177, 0.06450964510440826]",8,16,"q_proj,v_proj",0.0001,20
clip,grid,5,123,naive,10,68,16,52,0.8235294117647058,0.8629807692307692,0.9761904761904762,0.7884615384615384,0.8723404255319149,0.9194711538461539,"[[15, 1], [11, 41]]",0.12383323535323143,1.6648119688034058,"[1.6648119688034058, 1.130689263343811, 0.7714404463768005, 0.6560173034667969, 0.5901840925216675, 0.6256513893604279, 0.6228052377700806, 0.6094599366188049, 0.5087465345859528, 0.3779898136854172, 0.32043248414993286, 0.302327461540699, 0.29841145873069763, 0.22547943145036697, 0.2725317180156708, 0.21705497801303864, 0.20206431299448013, 0.16053130477666855, 0.12807461619377136, 0.12383323535323143]",8,16,"q_proj,v_proj",0.0001,20
